character,G_x,G_y,M,Euclid
再,253,229,43434,21.213203435596427
災,250,256,29059,6.0
妻,251,247,49007,3.1622776601683795
采,250,249,34977,1.0
砕,239,241,39310,14.212670403551895
宰,249,230,38013,20.024984394500787
栽,251,252,43752,2.23606797749979
彩,232,246,34760,18.439088914585774
採,243,250,40100,7.0
済,255,244,38541,7.810249675906654
祭,246,243,42327,8.06225774829855
斎,245,248,44426,5.385164807134504
細,260,255,49273,11.180339887498949
菜,250,244,40262,6.0
最,248,242,49373,8.246211251235321
裁,248,254,45710,4.47213595499958
債,260,249,49040,10.04987562112089
催,257,258,46413,10.63014581273465
塞,251,259,50940,9.055385138137417
歳,256,254,47526,7.211102550927978
載,243,253,50839,7.615773105863909
際,233,238,48682,20.808652046684813
埼,261,244,41099,12.529964086141668
在,244,260,34438,11.661903789690601
材,248,241,35502,9.219544457292887
剤,260,243,44237,12.206555615733702
財,238,242,39502,14.422205101855956
罪,247,225,43678,25.179356624028344
崎,240,251,47423,10.04987562112089
作,247,235,31656,15.297058540778355
削,249,252,43600,2.23606797749979
昨,222,236,36982,31.304951684997057
柵,260,243,50741,12.206555615733702
索,249,240,42220,10.04987562112089
策,249,240,43143,10.04987562112089
酢,223,241,46497,28.460498941515414
搾,253,236,42591,14.317821063276353
錯,251,251,47481,1.4142135623730951
咲,233,244,39603,18.027756377319946
冊,252,231,43852,19.1049731745428
札,233,259,30917,19.235384061671343
刷,256,246,45066,7.211102550927978
刹,261,249,39418,11.045361017187261
拶,244,243,39619,9.219544457292887
殺,246,250,43660,4.0
察,247,242,44988,8.54400374531753
撮,251,249,51570,1.4142135623730951
擦,250,247,49313,3.0
雑,251,254,49285,4.123105625617661
皿,250,256,39030,6.0
三,249,257,22714,7.0710678118654755
山,249,289,28776,39.01281840626232
参,244,243,37975,9.219544457292887
桟,255,248,42981,5.385164807134504
蚕,252,237,47505,13.152946437965905
惨,241,244,42136,10.816653826391969
産,249,257,44798,7.0710678118654755
傘,248,250,39688,2.0
散,234,251,47765,16.0312195418814
算,246,245,46554,6.4031242374328485
酸,233,249,52009,17.029386365926403
賛,251,242,49183,8.06225774829855
残,255,244,43970,7.810249675906654
斬,228,243,44114,23.08679276123039
暫,237,244,48250,14.317821063276353
士,248,282,24036,32.0624390837628
子,255,218,25054,32.38826948140329
支,246,255,31741,6.4031242374328485
止,243,300,26012,50.48762224545735
氏,240,256,33088,11.661903789690601
仕,239,264,30122,17.804493814764857
史,244,254,34094,7.211102550927978
司,271,227,34619,31.144823004794873
四,250,238,40543,12.0
市,249,238,31964,12.041594578792296
矢,240,254,31408,10.770329614269007
旨,238,255,36551,13.0
死,248,232,37082,18.110770276274835
糸,247,262,30370,12.36931687685298
至,250,247,36848,3.0
伺,271,239,38744,23.706539182259394
志,249,261,33001,11.045361017187261
私,230,260,36064,22.360679774997898
使,253,246,42369,5.0
刺,259,244,42572,10.816653826391969
始,246,262,40633,12.649110640673518
姉,247,246,41935,5.0
