character,G_x,G_y,M,Euclid
具,249,242,50180,8.06225774829855
惧,257,242,59573,10.63014581273465
愚,253,241,61346,9.486832980505138
空,250,253,46930,3.0
偶,266,246,65200,16.492422502470642
遇,269,251,62033,19.026297590440446
隅,250,234,69754,16.0
串,249,247,50875,3.1622776601683795
屈,259,246,56686,9.848857801796104
掘,260,251,64547,10.04987562112089
窟,256,252,63191,6.324555320336759
熊,243,243,57683,9.899494936611665
繰,249,255,66014,5.0990195135927845
君,256,236,59641,15.231546211727817
訓,254,247,57811,5.0
勲,238,241,61955,15.0
薫,249,242,62961,8.06225774829855
軍,249,226,61268,24.020824298928627
郡,248,236,65180,14.142135623730951
群,243,242,61452,10.63014581273465
兄,251,242,42650,8.06225774829855
刑,259,239,50870,14.212670403551895
形,230,237,48442,23.853720883753127
系,245,244,49096,7.810249675906654
径,254,252,55144,4.47213595499958
茎,248,258,57949,8.246211251235321
係,247,249,54349,3.1622776601683795
型,250,252,55626,2.0
契,247,246,57511,5.0
計,224,248,44134,26.076809620810597
恵,247,250,56367,3.0
啓,246,242,58616,8.94427190999916
掲,263,247,60680,13.341664064126334
渓,265,256,50302,16.15549442140351
経,244,254,61329,7.211102550927978
蛍,252,258,54879,8.246211251235321
敬,243,250,59500,7.0
景,250,237,58188,13.0
軽,237,247,65510,13.341664064126334
傾,257,247,61453,7.615773105863909
携,253,246,60788,5.0
継,251,257,65618,7.0710678118654755
詣,246,260,62991,10.770329614269007
慶,251,250,69349,1.0
憬,258,241,60741,12.041594578792296
稽,253,248,65582,3.605551275463989
憩,250,248,60989,2.0
警,247,240,57842,10.44030650891055
鶏,255,245,62280,7.0710678118654755
芸,249,250,51872,1.0
迎,261,254,52279,11.704699910719626
鯨,242,252,62560,8.246211251235321
隙,234,247,60058,16.278820596099706
劇,258,251,61732,8.06225774829855
撃,242,237,63613,15.264337522473747
激,254,256,59720,7.211102550927978
桁,241,248,48232,9.219544457292887
欠,246,252,39109,4.47213595499958
穴,251,233,33997,17.029386365926403
血,249,283,50578,33.015148038438355
決,256,257,44822,9.219544457292887
